index,N_object,Name,Algoritmos de clustering,samples,n_feats,k_real,k_GMM,distributions,compactness_factor,alpha_n,outliers,add_noise,index,silluette,bh,rtl,sd,db,xb,ch,dnn,mr,pb,rt,wg,c,UW
129,129,edisonn129.xlsx,GMM,5000,2,34,2:40,uniform,0.1,5,500,0,129,48,11,53,100,11,53,53,5,53,53,5,53,53,2
130,130,edisonn130.xlsx,GMM,5000,2,34,2:40,uniform,0.3,1,500,0,130,50,50,50,98,17,50,31,3,53,53,3,51,52,3
131,131,edisonn131.xlsx,GMM,5000,2,34,2:40,uniform,0.3,5,500,0,131,53,21,53,104,21,53,53,49,53,53,14,47,53,5
132,132,edisonn132.xlsx,GMM,5000,2,35,2:40,uniform,0.1,1,500,0,132,53,23,54,106,14,54,54,54,54,54,4,48,54,2
133,133,edisonn133.xlsx,GMM,5000,2,35,2:40,uniform,0.1,5,500,0,133,51,16,54,102,16,54,50,52,54,54,7,54,54,2
134,134,edisonn134.xlsx,GMM,5000,2,35,2:40,uniform,0.3,1,500,0,134,49,17,54,106,12,54,50,50,54,54,3,45,47,3
135,135,edisonn135.xlsx,GMM,5000,2,35,2:40,uniform,0.3,5,500,0,135,53,7,54,106,5,5,54,5,54,54,5,54,48,2
136,136,edisonn136.xlsx,GMM,5000,2,36,2:40,uniform,0.1,1,500,0,136,53,15,55,108,15,13,55,6,55,55,3,53,55,2
137,137,edisonn137.xlsx,GMM,5000,2,36,2:40,uniform,0.1,5,500,0,137,55,9,55,108,15,3,55,3,55,55,10,55,55,2
138,138,edisonn138.xlsx,GMM,5000,2,36,2:40,uniform,0.3,1,500,0,138,51,22,55,100,16,2,54,2,55,55,3,44,54,45
139,139,edisonn139.xlsx,GMM,5000,2,36,2:40,uniform,0.3,5,500,0,139,55,9,55,108,9,3,55,3,55,55,3,55,55,2
140,140,edisonn140.xlsx,GMM,5000,2,37,2:40,uniform,0.1,1,500,0,140,56,20,56,102,8,56,54,48,56,56,4,54,56,2
141,141,edisonn141.xlsx,GMM,5000,2,37,2:40,uniform,0.1,5,500,0,141,55,15,56,108,11,56,56,54,56,56,10,52,56,2
142,142,edisonn142.xlsx,GMM,5000,2,37,2:40,uniform,0.3,1,500,0,142,56,23,56,94,11,3,53,2,56,56,4,48,56,2
143,143,edisonn143.xlsx,GMM,5000,2,37,2:40,uniform,0.3,5,500,0,143,56,16,56,110,13,56,56,35,56,56,9,53,53,2
144,144,edisonn144.xlsx,GMM,5000,2,38,2:40,uniform,0.1,1,500,0,144,57,19,57,112,17,2,57,2,57,57,4,53,57,3
145,145,edisonn145.xlsx,GMM,5000,2,38,2:40,uniform,0.1,5,500,0,145,56,12,57,112,8,57,56,56,57,57,8,55,57,2
146,146,edisonn146.xlsx,GMM,5000,2,38,2:40,uniform,0.3,1,500,0,146,57,27,57,94,21,57,47,2,57,57,4,40,57,2
147,147,edisonn147.xlsx,GMM,5000,2,38,2:40,uniform,0.3,5,500,0,147,56,26,57,112,17,2,53,2,57,57,5,53,52,2
148,148,edisonn148.xlsx,GMM,5000,2,39,2:40,uniform,0.1,1,500,0,148,58,29,58,108,13,6,58,5,58,58,3,53,58,2
149,149,edisonn149.xlsx,GMM,5000,2,39,2:40,uniform,0.1,5,500,0,149,57,21,58,114,11,58,58,2,58,58,5,52,58,2
150,150,edisonn150.xlsx,GMM,5000,2,39,2:40,uniform,0.3,1,500,0,150,53,50,58,98,38,58,47,53,58,58,41,47,58,6
151,151,edisonn151.xlsx,GMM,5000,2,39,2:40,uniform,0.3,5,500,0,151,58,28,58,114,12,2,58,2,58,58,10,50,58,2
152,152,edisonn152.xlsx,GMM,5000,2,40,2:40,uniform,0.1,1,500,0,152,52,24,59,112,24,4,52,3,59,59,7,50,59,2
153,153,edisonn153.xlsx,GMM,5000,2,40,2:40,uniform,0.1,5,500,0,153,57,21,59,116,16,59,59,57,59,59,7,53,59,2
154,154,edisonn154.xlsx,GMM,5000,2,40,2:40,uniform,0.3,1,500,0,154,54,37,59,116,11,18,43,9,59,59,4,40,57,2
155,155,edisonn155.xlsx,GMM,5000,2,40,2:40,uniform,0.3,5,500,0,155,59,22,59,116,12,59,59,3,59,59,6,50,59,2
156,156,edisonn156.xlsx,GMM,5000,10,2,2:40,uniform,0.1,1,500,0,156,20,2,20,2,2,3,3,2,20,2,3,3,20,2
157,157,edisonn157.xlsx,GMM,5000,10,2,2:40,uniform,0.1,5,500,0,157,3,3,16,4,3,3,3,2,21,3,2,3,21,2
158,158,edisonn158.xlsx,GMM,5000,10,2,2:40,uniform,0.3,1,500,0,158,14,2,18,2,2,3,3,2,3,21,3,3,3,2
159,159,edisonn159.xlsx,GMM,5000,10,2,2:40,uniform,0.3,5,500,0,159,19,3,20,4,3,3,3,2,21,3,2,3,21,2
160,160,edisonn160.xlsx,GMM,5000,10,3,2:40,uniform,0.1,1,500,0,160,19,3,22,4,3,4,4,2,15,2,4,4,15,12
161,161,edisonn161.xlsx,GMM,5000,10,3,2:40,uniform,0.1,5,500,0,161,4,4,22,6,4,4,4,3,22,2,4,4,22,4
162,162,edisonn162.xlsx,GMM,5000,10,3,2:40,uniform,0.3,1,500,0,162,8,4,22,6,4,4,4,2,6,21,4,4,6,10
163,163,edisonn163.xlsx,GMM,5000,10,3,2:40,uniform,0.3,5,500,0,163,4,4,22,6,4,4,4,3,15,2,4,4,15,4
